Video name,DATE,Played Time,Played Num,OSX Desktop,IOS,Linux Desktop,Window Desktop,Android,Bot,
20180814_health_fit_480p.mp4,2019-01-15,85,8,0,0,0,0,8,0,
20190108_ENT_wong_480p.mp4,2019-01-15,315,8,0,6,0,0,0,2,
20181228_showbiz_DiorCheng_480p.mp4,2019-01-15,590,7,0,0,0,3,4,0,
20181211_Tseng_bik_v2_480p.mp4,2019-01-15,810,7,1,4,0,2,0,0,
20170613_health_PoYin_480p.mp4,2019-01-15,225,7,0,0,0,0,7,0,
20170518_peggy_papipupepo_2_480p.mp4,2019-01-15,450,7,0,7,0,0,0,0,
20181212_daily_Regina_480p.mp4,2019-01-15,90,7,0,0,0,0,7,0,
20170722_Ent_yeung_480p.mp4,2019-01-15,195,7,0,0,0,2,5,0,
20170812_Ent_SharonYeung_480p.mp4,2019-01-15,70,7,0,0,0,0,7,0,
20181009_Tsang_Money_v2_480p.mp4,2019-01-15,105,7,1,0,0,2,4,0,
20181120_tseng_480p.mp4,2019-01-15,290,7,0,0,0,3,4,0,
20170620_Tseng_save_v2_480p.mp4,2019-01-15,270,7,0,7,0,0,0,0,
20180803_TsangLokTung_B_480p.mp4,2019-01-15,35,6,0,2,0,0,4,0,
20180417_NetDaily_MTRLove_480p.mp4,2019-01-15,175,6,0,3,0,0,3,0,
20181230_ENT_mui_480p.mp4,2019-01-15,15,6,1,0,0,1,4,0,
20190108_CaptainMavel_480p.mp4,2019-01-15,115,6,0,3,0,2,0,1,
20180624_ENT_ng_480p.mp4,2019-01-15,135,6,0,5,0,1,0,0,
20170304_minicook_winewing_480p.mp4,2019-01-15,5,6,0,2,0,0,4,0,
20181023_Tsang_hat_480p.mp4,2019-01-15,560,6,1,0,0,1,4,0,
20181108_health_child_v2_480p.mp4,2019-01-15,35,6,0,3,0,0,3,0,
20171109_Peggy_grilledMeat_480p.mp4,2019-01-15,660,6,6,0,0,0,0,0,
20190103_ENT_yen_480p.mp4,2019-01-15,260,6,0,0,0,2,4,0,
20181204_Tseng_wun_480p.mp4,2019-01-15,55,6,1,0,0,1,4,0,
20181009_health_ADHD_480p.mp4,2019-01-15,185,5,0,0,0,1,4,0,
20181218_Ent_gill1_480p.mp4,2019-01-15,35,5,0,1,0,0,4,0,
20180413_TGIF_buffet_480p.mp4,2019-01-15,0,5,0,1,0,1,3,0,
20160926_cuson_period_480p.mp4,2019-01-15,35,5,0,0,0,0,4,1,
20181216_daily_v2_480p.mp4,2019-01-15,10,5,0,1,0,0,4,0,
20170425_Tseng_si_480p.mp4,2019-01-15,35,5,0,0,0,0,5,0,
20180508_health_diet_480p.mp4,2019-01-15,90,5,0,0,0,1,4,0,
20180713_showbiz_AGA_480p.mp4,2019-01-15,5,5,0,1,0,0,4,0,
20170706_cuson_70_v2_480p.mp4,2019-01-15,195,5,0,1,0,0,4,0,
20180807_Netdaily_480p.mp4,2019-01-15,70,5,0,5,0,0,0,0,
20181113_SangKee_480p.mp4,2019-01-15,0,5,0,5,0,0,0,0,
20181218_Tseng_zam_v2_480p.mp4,2019-01-15,480,5,1,2,0,2,0,0,
20170309_IT_Switch_v2_480p.mp4,2019-01-15,35,5,0,1,0,0,4,0,
20170110_health_vaginitis_V2_480p.mp4,2019-01-15,90,5,0,1,0,0,4,0,
20190110_IT_Zephyrus_480p.mp4,2019-01-15,260,5,0,3,0,2,0,0,
20181031_HotPot_480p.mp4,2019-01-15,10,5,0,1,0,0,4,0,
20171115_news_CSSA_480p.mp4,2019-01-15,45,5,0,0,0,1,4,0,
3manLive_EP46_480p.mp4,2019-01-15,260,5,0,1,0,2,2,0,
20180125_PunChoi_480p.mp4,2019-01-15,25,4,0,0,0,0,4,0,
20170801_daily_Hong_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20170301_minicook_BeefTongue_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
3manLive_EP16_v2_480p.mp4,2019-01-15,1020,4,0,4,0,0,0,0,
20170208_Daily_Dog_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20181226_ENT_janice_480p.mp4,2019-01-15,275,4,0,0,0,4,0,0,
20180927_Daily_JamesTint_480p.mp4,2019-01-15,290,4,0,4,0,0,0,0,
20181129_IT_iPadPro_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20181024_NetDaily_OnlineLover_480p.mp4,2019-01-15,45,4,0,0,0,0,4,0,
20181127_Ent_lau_480p.mp4,2019-01-15,0,4,0,3,0,1,0,0,
20161227_Tseng_win_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20190105_Ent_TVB_480p.mp4,2019-01-15,0,4,0,1,0,3,0,0,
20180320_daily_bus_v2_480p.mp4,2019-01-15,45,4,0,0,0,0,4,0,
20171031_Tseng_maai_v3_480p.mp4,2019-01-15,20,4,0,0,0,0,4,0,
20190101_ENT_joey_480p.mp4,2019-01-15,0,4,0,0,0,4,0,0,
20180930_ENT_can1_480p.mp4,2019-01-15,135,4,0,0,0,0,4,0,
20170711_IT_JVC_480p.mp4,2019-01-15,45,4,0,0,0,0,4,0,
